smiles,set,dim1,dim2
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,chembl,-42.431435,-19.610157
CCCCCCCCCCCC(=O)OCN1C(=O)CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc21,chembl,-42.347008,-19.515074
NC(=O)C[S@@+]([O-])C(c1ccccc1)c1ccccc1,chembl,-16.793522,8.043029
CO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,chembl,-63.78149,25.758465
C[C@H]1[C@@H](O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,chembl,-63.786366,25.896929
C[C@H]1[C@H](OC(=O)CCC(=O)O)O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]1[C@@]24OO3,chembl,-61.032867,33.75887
CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,chembl,-28.237576,26.246502
O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cc[nH]n2)c1,chembl,-55.33226,-0.26724303
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,chembl,-68.785736,21.92972
CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,chembl,-29.370121,-27.75165
CC(=O)Oc1ccccc1C(=O)O,chembl,-18.865349,9.220623
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,chembl,-54.829777,-34.004707
C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2ncc(OC)c3ccc(Cl)cc23)CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,chembl,-65.54891,0.78828734
O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,chembl,-5.0192094,-36.011578
COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C,chembl,-19.019346,4.86534
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,chembl,-15.665519,28.634554
C[C@@H]1[C@H](c2c(F)ccc(F)c2F)C[C@H](NC(=O)c2cnc3c(c2)C[C@@]2(C3)C(=O)Nc3ncccc32)C(=O)N1CC(F)(F)F,chembl,-57.389965,-1.5305451
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,chembl,-12.700406,-1.560232
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,chembl,-17.350887,0.7622003
