mol_id,cid,smiles,inchikey,formula,iupac_name,scaffold_id,scaffold_name,scaffold_class,scaffold_smarts,murcko_scaffold,mw,logp,tpsa,hbd,hba,rotb,heavy_atoms,rings,aromatic_rings,fraction_csp3,bertz_ct
MOL_00021,7107,c1ccc2c(c1)Cc1ccccc1O2,GJCOSYZMQJWQCA-UHFFFAOYSA-N,C13H10O,9H-xanthene,fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,c1ccc2c(c1)Cc1ccccc1O2,182.222,3.383,9.23,0,1,0,14,3,2,0.0769,386.67
MOL_00022,161764,O=C1OC2(c3ccccc31)c1ccc([O-])c(I)c1Oc1c2ccc([O-])c1I,DSVUBXQDJGJGIC-UHFFFAOYSA-L,C20H8I2Na2O5,"disodium;4',5'-diiodo-3-oxospiro[2-benzofuran-1,9'-xanthene]-3',6'-diolate",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,582.087,3.611,81.65,0,5,0,27,5,3,0.05,1097.85
MOL_00023,24952193,CC(C)(C(=O)Nc1nncs1)C1c2ccccc2Oc2cc(O)ccc21,ZSMCHXGGQCKXMY-UHFFFAOYSA-N,C19H17N3O3S,"2-[(9S)-3-hydroxy-9H-xanthen-9-yl]-2-methyl-N-(1,3,4-thiadiazol-2-yl)propanamide",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C(CC1c2ccccc2Oc2ccccc21)Nc1nncs1,367.43,4.146,84.34,2,6,3,26,4,3,0.2105,969.92
MOL_00024,17955460,CN(CCC(=O)N1CCN(c2ccc(F)c(F)c2)CC1)CCC1c2ccccc2Oc2ccccc21,FBLFUQVNJABTNK-UHFFFAOYSA-N,C29H31F2N3O2,"1-[4-(3,4-difluorophenyl)piperazin-1-yl]-3-[methyl-[2-(9H-xanthen-9-yl)ethyl]amino]propan-1-one",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C(CCNCCC1c2ccccc2Oc2ccccc21)N1CCN(c2ccccc2)CC1,491.582,5.263,36.02,0,4,7,36,5,3,0.3448,1181.15
MOL_00025,233004,CCOC(=O)NC1c2ccccc2Oc2ccccc21,ZRHIXOCIICXSFL-UHFFFAOYSA-N,C16H15NO3,ethyl N-(9H-xanthen-9-yl)carbamate,fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,c1ccc2c(c1)Cc1ccccc1O2,269.3,3.628,47.56,1,3,2,20,3,2,0.1875,593.62
MOL_00026,6604829,NC(CC1c2ccccc2Oc2ccccc21)(C(=O)O)C1CC1C(=O)O,VLZBRVJVCCNPRJ-UHFFFAOYSA-N,C20H19NO5,"cis-(1S,2R)-2-[(1S)-1-amino-1-carboxy-2-(9H-xanthen-9-yl)ethyl]cyclopropane-1-carboxylic acid",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,c1ccc2c(c1)Oc1ccccc1C2CCC1CC1,353.374,2.817,109.85,3,4,5,26,4,2,0.3,849.78
MOL_00027,30996,CN(C)CCCC1c2ccccc2Oc2ccc(C(F)(F)F)cc21,WRNDGAGUUNVEEO-UHFFFAOYSA-N,C19H20F3NO,"N,N-dimethyl-3-[2-(trifluoromethyl)-9H-xanthen-9-yl]propan-1-amine",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,c1ccc2c(c1)Cc1ccccc1O2,335.369,5.285,12.47,0,2,4,24,3,2,0.3684,724.79
MOL_00028,117302,O=C1OC2(c3ccc(Cl)cc3Oc3cc(NC4CCCCC4)ccc32)c2ccccc21,RDQSNMHMCMDRHU-UHFFFAOYSA-N,C26H22ClNO3,"3'-chloro-6'-(cyclohexylamino)spiro[2-benzofuran-3,9'-xanthene]-1-one",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C1OC2(c3ccccc3Oc3cc(NC4CCCCC4)ccc32)c2ccccc21,431.919,6.653,47.56,1,4,2,31,6,3,0.2692,1201.01
MOL_00029,56973708,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2cc(N=C=S)ccc21,GTQFZXYECNSNNC-UHFFFAOYSA-N,C42H22N2O10S2,"3',6'-dihydroxy-5-isothiocyanatospiro[2-benzofuran-3,9'-xanthene]-1-one;3',6'-dihydroxy-6-isothiocyanatospiro[2-benzofuran-3,9'-xanthene]-1-one",fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,O=C1OC2(c3ccccc3Oc3ccccc32)c2ccccc21,389.388,4.4,88.35,2,7,1,28,5,3,0.0476,1177.96
MOL_00030,602451,NC1c2ccccc2Oc2ccccc21,OTTYHRLXKGOXLY-UHFFFAOYSA-N,C13H11NO,9H-xanthen-9-amine,fluorescein,Xanthene (fluorescein-like),chromophore,c1ccc2c(c1)Oc1ccccc1C2,c1ccc2c(c1)Cc1ccccc1O2,197.237,2.84,35.25,1,2,0,15,3,2,0.0769,461.89
